Epoch 62 loss = 100.69223 	 PPV@L = 0.849 	 PPV@2L = 0.726 	 First Error = 9
Epoch 63 loss = 100.53349 	 PPV@L = 0.811 	 PPV@2L = 0.717 	 First Error = 9
Epoch 64 loss = 100.38071 	 PPV@L = 0.811 	 PPV@2L = 0.708 	 First Error = 9
Epoch 65 loss = 100.23979 	 PPV@L = 0.83 	 PPV@2L = 0.717 	 First Error = 10
Epoch 66 loss = 100.10978 	 PPV@L = 0.83 	 PPV@2L = 0.726 	 First Error = 10
Epoch 67 loss = 99.98376 	 PPV@L = 0.83 	 PPV@2L = 0.736 	 First Error = 10
Epoch 68 loss = 99.86903 	 PPV@L = 0.83 	 PPV@2L = 0.745 	 First Error = 10
Epoch 69 loss = 99.76017 	 PPV@L = 0.83 	 PPV@2L = 0.736 	 First Error = 10
Epoch 70 loss = 99.65895 	 PPV@L = 0.83 	 PPV@2L = 0.717 	 First Error = 10
Epoch 71 loss = 99.55826 	 PPV@L = 0.849 	 PPV@2L = 0.736 	 First Error = 10
Epoch 72 loss = 99.46621 	 PPV@L = 0.849 	 PPV@2L = 0.745 	 First Error = 11
Epoch 73 loss = 99.37722 	 PPV@L = 0.849 	 PPV@2L = 0.726 	 First Error = 11
Epoch 74 loss = 99.29123 	 PPV@L = 0.868 	 PPV@2L = 0.745 	 First Error = 11
Epoch 75 loss = 99.20777 	 PPV@L = 0.868 	 PPV@2L = 0.745 	 First Error = 11
Epoch 76 loss = 99.13525 	 PPV@L = 0.868 	 PPV@2L = 0.755 	 First Error = 11
Epoch 77 loss = 99.05997 	 PPV@L = 0.849 	 PPV@2L = 0.764 	 First Error = 11
Epoch 78 loss = 98.98917 	 PPV@L = 0.849 	 PPV@2L = 0.755 	 First Error = 11
Epoch 79 loss = 98.92483 	 PPV@L = 0.849 	 PPV@2L = 0.745 	 First Error = 12
Epoch 80 loss = 98.85886 	 PPV@L = 0.849 	 PPV@2L = 0.745 	 First Error = 12
Epoch 81 loss = 98.79716 	 PPV@L = 0.83 	 PPV@2L = 0.745 	 First Error = 12
Epoch 82 loss = 98.73498 	 PPV@L = 0.83 	 PPV@2L = 0.755 	 First Error = 13
Epoch 83 loss = 98.67841 	 PPV@L = 0.83 	 PPV@2L = 0.726 	 First Error = 13
Epoch 84 loss = 98.62299 	 PPV@L = 0.83 	 PPV@2L = 0.726 	 First Error = 13
Epoch 85 loss = 98.56844 	 PPV@L = 0.83 	 PPV@2L = 0.736 	 First Error = 13
Epoch 86 loss = 98.51997 	 PPV@L = 0.83 	 PPV@2L = 0.755 	 First Error = 14
Epoch 87 loss = 98.46541 	 PPV@L = 0.83 	 PPV@2L = 0.755 	 First Error = 14
Epoch 88 loss = 98.41493 	 PPV@L = 0.83 	 PPV@2L = 0.736 	 First Error = 15
Epoch 89 loss = 98.3687 	 PPV@L = 0.83 	 PPV@2L = 0.736 	 First Error = 15
Epoch 90 loss = 98.32225 	 PPV@L = 0.83 	 PPV@2L = 0.736 	 First Error = 15
Epoch 91 loss = 98.27662 	 PPV@L = 0.849 	 PPV@2L = 0.745 	 First Error = 15
Epoch 92 loss = 98.23318 	 PPV@L = 0.83 	 PPV@2L = 0.755 	 First Error = 15
Epoch 93 loss = 98.19204 	 PPV@L = 0.83 	 PPV@2L = 0.736 	 First Error = 15
Epoch 94 loss = 98.15268 	 PPV@L = 0.849 	 PPV@2L = 0.717 	 First Error = 16
Epoch 95 loss = 98.11235 	 PPV@L = 0.83 	 PPV@2L = 0.717 	 First Error = 16
Epoch 96 loss = 98.07135 	 PPV@L = 0.849 	 PPV@2L = 0.717 	 First Error = 16
Epoch 97 loss = 98.03327 	 PPV@L = 0.849 	 PPV@2L = 0.708 	 First Error = 16
Epoch 98 loss = 97.99721 	 PPV@L = 0.849 	 PPV@2L = 0.708 	 First Error = 17
Epoch 99 loss = 97.96091 	 PPV@L = 0.83 	 PPV@2L = 0.717 	 First Error = 17
Epoch 100 loss = 97.92855 	 PPV@L = 0.849 	 PPV@2L = 0.717 	 First Error = 17
Epoch 101 loss = 97.89084 	 PPV@L = 0.849 	 PPV@2L = 0.698 	 First Error = 17
Epoch 102 loss = 97.85824 	 PPV@L = 0.868 	 PPV@2L = 0.708 	 First Error = 17
Epoch 103 loss = 97.82525 	 PPV@L = 0.811 	 PPV@2L = 0.717 	 First Error = 17
Epoch 104 loss = 97.79367 	 PPV@L = 0.849 	 PPV@2L = 0.717 	 First Error = 17
Epoch 105 loss = 97.76018 	 PPV@L = 0.83 	 PPV@2L = 0.689 	 First Error = 17
Epoch 106 loss = 97.72976 	 PPV@L = 0.83 	 PPV@2L = 0.698 	 First Error = 17
Epoch 107 loss = 97.6967 	 PPV@L = 0.83 	 PPV@2L = 0.726 	 First Error = 17
Epoch 108 loss = 97.66919 	 PPV@L = 0.811 	 PPV@2L = 0.708 	 First Error = 17
Epoch 109 loss = 97.63878 	 PPV@L = 0.811 	 PPV@2L = 0.708 	 First Error = 18
Epoch 110 loss = 97.61059 	 PPV@L = 0.811 	 PPV@2L = 0.708 	 First Error = 18
Epoch 111 loss = 97.5832 	 PPV@L = 0.811 	 PPV@2L = 0.708 	 First Error = 18
Epoch 112 loss = 97.55839 	 PPV@L = 0.792 	 PPV@2L = 0.717 	 First Error = 18
Epoch 113 loss = 97.52995 	 PPV@L = 0.792 	 PPV@2L = 0.708 	 First Error = 18
Epoch 114 loss = 97.50407 	 PPV@L = 0.811 	 PPV@2L = 0.708 	 First Error = 18
Epoch 115 loss = 97.47767 	 PPV@L = 0.792 	 PPV@2L = 0.708 	 First Error = 18
Epoch 116 loss = 97.45354 	 PPV@L = 0.811 	 PPV@2L = 0.698 	 First Error = 18
Epoch 117 loss = 97.42804 	 PPV@L = 0.811 	 PPV@2L = 0.708 	 First Error = 18
Epoch 118 loss = 97.40375 	 PPV@L = 0.774 	 PPV@2L = 0.698 	 First Error = 18
Epoch 119 loss = 97.37933 	 PPV@L = 0.792 	 PPV@2L = 0.717 	 First Error = 18
Epoch 120 loss = 97.35725 	 PPV@L = 0.792 	 PPV@2L = 0.698 	 First Error = 18
Epoch 121 loss = 97.33531 	 PPV@L = 0.811 	 PPV@2L = 0.708 	 First Error = 19
Epoch 122 loss = 97.31123 	 PPV@L = 0.792 	 PPV@2L = 0.698 	 First Error = 18
Epoch 123 loss = 97.28824 	 PPV@L = 0.83 	 PPV@2L = 0.698 	 First Error = 18
Epoch 124 loss = 97.26477 	 PPV@L = 0.792 	 PPV@2L = 0.698 	 First Error = 18
Epoch 125 loss = 97.24335 	 PPV@L = 0.83 	 PPV@2L = 0.689 	 First Error = 19
Epoch 126 loss = 97.22378 	 PPV@L = 0.792 	 PPV@2L = 0.689 	 First Error = 19
Epoch 127 loss = 97.2049 	 PPV@L = 0.792 	 PPV@2L = 0.698 	 First Error = 19
Epoch 128 loss = 97.18346 	 PPV@L = 0.774 	 PPV@2L = 0.689 	 First Error = 19
Epoch 129 loss = 97.16185 	 PPV@L = 0.774 	 PPV@2L = 0.689 	 First Error = 19
Epoch 130 loss = 97.14302 	 PPV@L = 0.774 	 PPV@2L = 0.689 	 First Error = 20
Epoch 131 loss = 97.12128 	 PPV@L = 0.792 	 PPV@2L = 0.698 	 First Error = 18
Epoch 132 loss = 97.10574 	 PPV@L = 0.755 	 PPV@2L = 0.689 	 First Error = 20
Epoch 133 loss = 97.08362 	 PPV@L = 0.774 	 PPV@2L = 0.679 	 First Error = 20
Epoch 134 loss = 97.07186 	 PPV@L = 0.774 	 PPV@2L = 0.698 	 First Error = 21
Epoch 135 loss = 97.05367 	 PPV@L = 0.774 	 PPV@2L = 0.689 	 First Error = 20
Epoch 136 loss = 97.03185 	 PPV@L = 0.774 	 PPV@2L = 0.689 	 First Error = 20
Epoch 137 loss = 97.01345 	 PPV@L = 0.774 	 PPV@2L = 0.689 	 First Error = 21
Epoch 138 loss = 96.99723 	 PPV@L = 0.736 	 PPV@2L = 0.698 	 First Error = 21
Epoch 139 loss = 96.98032 	 PPV@L = 0.774 	 PPV@2L = 0.689 	 First Error = 21
Epoch 140 loss = 96.96175 	 PPV@L = 0.774 	 PPV@2L = 0.698 	 First Error = 22
Epoch 141 loss = 96.94464 	 PPV@L = 0.755 	 PPV@2L = 0.689 	 First Error = 20
Epoch 142 loss = 96.93012 	 PPV@L = 0.774 	 PPV@2L = 0.689 	 First Error = 21
Epoch 143 loss = 96.91261 	 PPV@L = 0.755 	 PPV@2L = 0.689 	 First Error = 21
Epoch 144 loss = 96.89713 	 PPV@L = 0.755 	 PPV@2L = 0.708 	 First Error = 21
Epoch 145 loss = 96.88427 	 PPV@L = 0.736 	 PPV@2L = 0.698 	 First Error = 21
Epoch 146 loss = 96.86731 	 PPV@L = 0.755 	 PPV@2L = 0.689 	 First Error = 21
Epoch 147 loss = 96.85099 	 PPV@L = 0.755 	 PPV@2L = 0.708 	 First Error = 21
Epoch 148 loss = 96.83641 	 PPV@L = 0.736 	 PPV@2L = 0.689 	 First Error = 21
Epoch 149 loss = 96.82173 	 PPV@L = 0.736 	 PPV@2L = 0.698 	 First Error = 21
Epoch 150 loss = 96.80834 	 PPV@L = 0.755 	 PPV@2L = 0.679 	 First Error = 21
