Epoch 85 loss = 103.67309 	 PPV@L = 0.849 	 First Error = 19
Epoch 86 loss = 103.62502 	 PPV@L = 0.849 	 First Error = 22
Epoch 87 loss = 103.583 	 PPV@L = 0.849 	 First Error = 20
Epoch 88 loss = 103.50253 	 PPV@L = 0.849 	 First Error = 19
Epoch 89 loss = 103.49086 	 PPV@L = 0.83 	 First Error = 19
Epoch 90 loss = 103.34796 	 PPV@L = 0.83 	 First Error = 21
Epoch 91 loss = 103.35075 	 PPV@L = 0.849 	 First Error = 21
Epoch 92 loss = 103.34295 	 PPV@L = 0.868 	 First Error = 22
Epoch 93 loss = 103.29936 	 PPV@L = 0.849 	 First Error = 20
Epoch 94 loss = 103.20919 	 PPV@L = 0.849 	 First Error = 21
Epoch 95 loss = 103.20566 	 PPV@L = 0.849 	 First Error = 23
Epoch 96 loss = 103.16586 	 PPV@L = 0.849 	 First Error = 22
Epoch 97 loss = 103.11043 	 PPV@L = 0.849 	 First Error = 22
Epoch 98 loss = 103.01446 	 PPV@L = 0.849 	 First Error = 22
Epoch 99 loss = 103.03367 	 PPV@L = 0.849 	 First Error = 19
Epoch 100 loss = 102.95424 	 PPV@L = 0.849 	 First Error = 21
Epoch 101 loss = 103.07866 	 PPV@L = 0.868 	 First Error = 23
Epoch 102 loss = 102.94465 	 PPV@L = 0.849 	 First Error = 23
Epoch 103 loss = 102.80406 	 PPV@L = 0.849 	 First Error = 21
Epoch 104 loss = 102.75282 	 PPV@L = 0.849 	 First Error = 24
Epoch 105 loss = 102.74283 	 PPV@L = 0.849 	 First Error = 24
Epoch 106 loss = 102.69435 	 PPV@L = 0.868 	 First Error = 22
Epoch 107 loss = 102.67447 	 PPV@L = 0.849 	 First Error = 23
Epoch 108 loss = 102.61493 	 PPV@L = 0.849 	 First Error = 23
Epoch 109 loss = 102.56102 	 PPV@L = 0.849 	 First Error = 26
Epoch 110 loss = 102.56552 	 PPV@L = 0.868 	 First Error = 25
Epoch 111 loss = 102.52219 	 PPV@L = 0.849 	 First Error = 24
Epoch 112 loss = 102.45727 	 PPV@L = 0.868 	 First Error = 22
Epoch 113 loss = 102.42566 	 PPV@L = 0.849 	 First Error = 27
Epoch 114 loss = 102.34092 	 PPV@L = 0.849 	 First Error = 29
Epoch 115 loss = 102.31305 	 PPV@L = 0.849 	 First Error = 22
Epoch 116 loss = 102.27413 	 PPV@L = 0.849 	 First Error = 25
