Epoch 1 ltot = 4265.997 	 PPV@L = 0.453 	 PPV@2L = 0.443 	 1st Err = 6
Epoch 2 ltot = 2796.031 	 PPV@L = 0.453 	 PPV@2L = 0.472 	 1st Err = 1
Epoch 3 ltot = 481.145 	 PPV@L = 0.528 	 PPV@2L = 0.462 	 1st Err = 3
Epoch 4 ltot = 176.374 	 PPV@L = 0.623 	 PPV@2L = 0.509 	 1st Err = 7
Epoch 5 ltot = 126.972 	 PPV@L = 0.623 	 PPV@2L = 0.528 	 1st Err = 7
Epoch 6 ltot = 112.699 	 PPV@L = 0.736 	 PPV@2L = 0.623 	 1st Err = 11
Epoch 7 ltot = 103.722 	 PPV@L = 0.736 	 PPV@2L = 0.604 	 1st Err = 18
Epoch 8 ltot = 98.955 	 PPV@L = 0.717 	 PPV@2L = 0.623 	 1st Err = 26
Epoch 9 ltot = 96.54 	 PPV@L = 0.774 	 PPV@2L = 0.642 	 1st Err = 27
Epoch 10 ltot = 95.085 	 PPV@L = 0.774 	 PPV@2L = 0.67 	 1st Err = 25
Epoch 1 ltot = 3952.4 	 PPV@L = 0.415 	 PPV@2L = 0.396 	 1st Err = 5
Epoch 2 ltot = 2483.172 	 PPV@L = 0.453 	 PPV@2L = 0.453 	 1st Err = 1
Epoch 3 ltot = 545.219 	 PPV@L = 0.34 	 PPV@2L = 0.396 	 1st Err = 3
Epoch 4 ltot = 168.697 	 PPV@L = 0.415 	 PPV@2L = 0.443 	 1st Err = 1
Epoch 5 ltot = 117.456 	 PPV@L = 0.453 	 PPV@2L = 0.472 	 1st Err = 2
Epoch 6 ltot = 105.991 	 PPV@L = 0.509 	 PPV@2L = 0.528 	 1st Err = 2
Epoch 7 ltot = 100.328 	 PPV@L = 0.509 	 PPV@2L = 0.528 	 1st Err = 2
Epoch 8 ltot = 97.223 	 PPV@L = 0.491 	 PPV@2L = 0.528 	 1st Err = 3
Epoch 9 ltot = 95.448 	 PPV@L = 0.509 	 PPV@2L = 0.509 	 1st Err = 5
Epoch 10 ltot = 94.246 	 PPV@L = 0.547 	 PPV@2L = 0.509 	 1st Err = 6
Epoch 1 ltot = 4559.729 	 PPV@L = 0.396 	 PPV@2L = 0.358 	 1st Err = 7
Epoch 2 ltot = 1266.547 	 PPV@L = 0.434 	 PPV@2L = 0.425 	 1st Err = 3
Epoch 3 ltot = 272.103 	 PPV@L = 0.491 	 PPV@2L = 0.443 	 1st Err = 2
Epoch 4 ltot = 163.195 	 PPV@L = 0.528 	 PPV@2L = 0.434 	 1st Err = 7
Epoch 5 ltot = 124.018 	 PPV@L = 0.472 	 PPV@2L = 0.434 	 1st Err = 7
Epoch 6 ltot = 106.765 	 PPV@L = 0.528 	 PPV@2L = 0.481 	 1st Err = 7
Epoch 7 ltot = 99.103 	 PPV@L = 0.585 	 PPV@2L = 0.481 	 1st Err = 7
Epoch 8 ltot = 96.22 	 PPV@L = 0.585 	 PPV@2L = 0.519 	 1st Err = 7
Epoch 9 ltot = 94.542 	 PPV@L = 0.66 	 PPV@2L = 0.547 	 1st Err = 7
Epoch 10 ltot = 93.551 	 PPV@L = 0.755 	 PPV@2L = 0.585 	 1st Err = 4
