Epoch 1 loss = 1405.58909 	 PPV@L = 0.509 	 First Error = 1
Epoch 2 loss = 711.34034 	 PPV@L = 0.509 	 First Error = 1
Epoch 3 loss = 484.91148 	 PPV@L = 0.509 	 First Error = 1
Epoch 4 loss = 456.98146 	 PPV@L = 0.509 	 First Error = 1
Epoch 5 loss = 421.39529 	 PPV@L = 0.528 	 First Error = 1
Epoch 6 loss = 395.26138 	 PPV@L = 0.547 	 First Error = 1
Epoch 7 loss = 378.37205 	 PPV@L = 0.547 	 First Error = 1
Epoch 8 loss = 363.27566 	 PPV@L = 0.528 	 First Error = 1
Epoch 9 loss = 349.61817 	 PPV@L = 0.547 	 First Error = 1
Epoch 10 loss = 336.68073 	 PPV@L = 0.547 	 First Error = 1
Epoch 11 loss = 324.32673 	 PPV@L = 0.547 	 First Error = 1
Epoch 12 loss = 312.5374 	 PPV@L = 0.566 	 First Error = 1
Epoch 13 loss = 301.27304 	 PPV@L = 0.585 	 First Error = 1
Epoch 14 loss = 290.47775 	 PPV@L = 0.623 	 First Error = 1
Epoch 15 loss = 280.09212 	 PPV@L = 0.604 	 First Error = 1
Epoch 16 loss = 270.11306 	 PPV@L = 0.604 	 First Error = 1
Epoch 17 loss = 260.57556 	 PPV@L = 0.604 	 First Error = 1
Epoch 18 loss = 251.44362 	 PPV@L = 0.585 	 First Error = 1
Epoch 19 loss = 242.74464 	 PPV@L = 0.585 	 First Error = 1
Epoch 20 loss = 234.45576 	 PPV@L = 0.604 	 First Error = 1
Epoch 21 loss = 226.57079 	 PPV@L = 0.604 	 First Error = 2
Epoch 22 loss = 219.08428 	 PPV@L = 0.585 	 First Error = 2
Epoch 23 loss = 211.97169 	 PPV@L = 0.585 	 First Error = 2
Epoch 24 loss = 205.23078 	 PPV@L = 0.604 	 First Error = 2
Epoch 25 loss = 198.8313 	 PPV@L = 0.585 	 First Error = 2
Epoch 26 loss = 192.77423 	 PPV@L = 0.585 	 First Error = 2
Epoch 27 loss = 187.03697 	 PPV@L = 0.566 	 First Error = 3
Epoch 28 loss = 181.60143 	 PPV@L = 0.566 	 First Error = 3
Epoch 29 loss = 176.44614 	 PPV@L = 0.566 	 First Error = 3
Epoch 30 loss = 171.58167 	 PPV@L = 0.566 	 First Error = 3
Epoch 31 loss = 166.98313 	 PPV@L = 0.566 	 First Error = 3
Epoch 32 loss = 162.63814 	 PPV@L = 0.585 	 First Error = 3
Epoch 33 loss = 158.52996 	 PPV@L = 0.566 	 First Error = 3
Epoch 34 loss = 154.6395 	 PPV@L = 0.566 	 First Error = 3
Epoch 35 loss = 150.9641 	 PPV@L = 0.585 	 First Error = 3
Epoch 36 loss = 147.50106 	 PPV@L = 0.604 	 First Error = 4
Epoch 37 loss = 144.23025 	 PPV@L = 0.604 	 First Error = 4
Epoch 38 loss = 141.14585 	 PPV@L = 0.623 	 First Error = 5
Epoch 39 loss = 138.2238 	 PPV@L = 0.623 	 First Error = 6
Epoch 40 loss = 135.48364 	 PPV@L = 0.604 	 First Error = 6
Epoch 41 loss = 132.89163 	 PPV@L = 0.604 	 First Error = 6
Epoch 42 loss = 130.43931 	 PPV@L = 0.604 	 First Error = 6
Epoch 43 loss = 128.13839 	 PPV@L = 0.604 	 First Error = 6
Epoch 44 loss = 125.96787 	 PPV@L = 0.623 	 First Error = 6
Epoch 45 loss = 123.91794 	 PPV@L = 0.642 	 First Error = 6
Epoch 46 loss = 121.98291 	 PPV@L = 0.623 	 First Error = 7
Epoch 47 loss = 120.18741 	 PPV@L = 0.623 	 First Error = 7
Epoch 48 loss = 118.4472 	 PPV@L = 0.623 	 First Error = 8
Epoch 49 loss = 116.83048 	 PPV@L = 0.623 	 First Error = 10
Epoch 50 loss = 115.31244 	 PPV@L = 0.623 	 First Error = 10
Epoch 51 loss = 113.87543 	 PPV@L = 0.623 	 First Error = 11
Epoch 52 loss = 112.54178 	 PPV@L = 0.623 	 First Error = 12
Epoch 53 loss = 111.25643 	 PPV@L = 0.642 	 First Error = 13
Epoch 54 loss = 110.05891 	 PPV@L = 0.642 	 First Error = 13
Epoch 55 loss = 108.94326 	 PPV@L = 0.66 	 First Error = 13
Epoch 56 loss = 107.88504 	 PPV@L = 0.66 	 First Error = 13
Epoch 57 loss = 106.88777 	 PPV@L = 0.66 	 First Error = 13
Epoch 58 loss = 105.95137 	 PPV@L = 0.66 	 First Error = 15
Epoch 59 loss = 105.05196 	 PPV@L = 0.66 	 First Error = 15
Epoch 60 loss = 104.23347 	 PPV@L = 0.66 	 First Error = 15
Epoch 61 loss = 103.44034 	 PPV@L = 0.679 	 First Error = 15
Epoch 62 loss = 102.70345 	 PPV@L = 0.679 	 First Error = 15
Epoch 63 loss = 102.02086 	 PPV@L = 0.679 	 First Error = 15
Epoch 64 loss = 101.36701 	 PPV@L = 0.679 	 First Error = 15
Epoch 65 loss = 100.74414 	 PPV@L = 0.679 	 First Error = 15
Epoch 66 loss = 100.18123 	 PPV@L = 0.698 	 First Error = 15
Epoch 67 loss = 99.63887 	 PPV@L = 0.698 	 First Error = 15
Epoch 68 loss = 99.13697 	 PPV@L = 0.698 	 First Error = 16
Epoch 69 loss = 98.65143 	 PPV@L = 0.717 	 First Error = 16
Epoch 70 loss = 98.19511 	 PPV@L = 0.717 	 First Error = 15
Epoch 71 loss = 97.7827 	 PPV@L = 0.717 	 First Error = 15
Epoch 72 loss = 97.35922 	 PPV@L = 0.755 	 First Error = 15
Epoch 73 loss = 96.98936 	 PPV@L = 0.755 	 First Error = 15
Epoch 74 loss = 96.62388 	 PPV@L = 0.755 	 First Error = 15
Epoch 75 loss = 96.28487 	 PPV@L = 0.774 	 First Error = 15
Epoch 76 loss = 95.97803 	 PPV@L = 0.811 	 First Error = 16
Epoch 77 loss = 95.68915 	 PPV@L = 0.811 	 First Error = 16
Epoch 78 loss = 95.39417 	 PPV@L = 0.792 	 First Error = 16
Epoch 79 loss = 95.14943 	 PPV@L = 0.83 	 First Error = 16
Epoch 80 loss = 94.88656 	 PPV@L = 0.83 	 First Error = 17
Epoch 81 loss = 94.66262 	 PPV@L = 0.849 	 First Error = 17
Epoch 82 loss = 94.43917 	 PPV@L = 0.849 	 First Error = 17
Epoch 83 loss = 94.24342 	 PPV@L = 0.849 	 First Error = 19
Epoch 84 loss = 94.04028 	 PPV@L = 0.868 	 First Error = 19
Epoch 85 loss = 93.84968 	 PPV@L = 0.887 	 First Error = 20
Epoch 86 loss = 93.66856 	 PPV@L = 0.887 	 First Error = 20
Epoch 87 loss = 93.50863 	 PPV@L = 0.906 	 First Error = 20
Epoch 88 loss = 93.3418 	 PPV@L = 0.906 	 First Error = 21
Epoch 89 loss = 93.18807 	 PPV@L = 0.887 	 First Error = 21
Epoch 90 loss = 93.05061 	 PPV@L = 0.906 	 First Error = 21
Epoch 91 loss = 92.90986 	 PPV@L = 0.925 	 First Error = 21
Epoch 92 loss = 92.80026 	 PPV@L = 0.925 	 First Error = 21
Epoch 93 loss = 92.65649 	 PPV@L = 0.925 	 First Error = 22
Epoch 94 loss = 92.55044 	 PPV@L = 0.925 	 First Error = 23
Epoch 95 loss = 92.44994 	 PPV@L = 0.925 	 First Error = 23
Epoch 96 loss = 92.3659 	 PPV@L = 0.925 	 First Error = 24
Epoch 97 loss = 92.25055 	 PPV@L = 0.925 	 First Error = 24
Epoch 98 loss = 92.15537 	 PPV@L = 0.925 	 First Error = 25
Epoch 99 loss = 92.06447 	 PPV@L = 0.925 	 First Error = 25
Epoch 100 loss = 91.96995 	 PPV@L = 0.925 	 First Error = 26
Epoch 101 loss = 91.90969 	 PPV@L = 0.943 	 First Error = 26
Epoch 102 loss = 91.83964 	 PPV@L = 0.943 	 First Error = 26
Epoch 103 loss = 91.77381 	 PPV@L = 0.943 	 First Error = 26
Epoch 104 loss = 91.68539 	 PPV@L = 0.943 	 First Error = 28
Epoch 105 loss = 91.60677 	 PPV@L = 0.943 	 First Error = 28
Epoch 106 loss = 91.53694 	 PPV@L = 0.943 	 First Error = 28
Epoch 107 loss = 91.4673 	 PPV@L = 0.925 	 First Error = 28
Epoch 108 loss = 91.42693 	 PPV@L = 0.925 	 First Error = 29
Epoch 109 loss = 91.34377 	 PPV@L = 0.925 	 First Error = 29
Epoch 110 loss = 91.32439 	 PPV@L = 0.925 	 First Error = 29
Epoch 111 loss = 91.24265 	 PPV@L = 0.925 	 First Error = 28
Epoch 112 loss = 91.20435 	 PPV@L = 0.925 	 First Error = 28
Epoch 113 loss = 91.18443 	 PPV@L = 0.925 	 First Error = 29
Epoch 114 loss = 91.114 	 PPV@L = 0.925 	 First Error = 29
Epoch 115 loss = 91.06087 	 PPV@L = 0.906 	 First Error = 29
Epoch 116 loss = 91.03813 	 PPV@L = 0.925 	 First Error = 29
Epoch 117 loss = 90.98645 	 PPV@L = 0.906 	 First Error = 29
Epoch 118 loss = 90.96632 	 PPV@L = 0.906 	 First Error = 29
Epoch 119 loss = 90.90689 	 PPV@L = 0.906 	 First Error = 29
Epoch 120 loss = 90.85616 	 PPV@L = 0.906 	 First Error = 29
Epoch 121 loss = 90.80892 	 PPV@L = 0.906 	 First Error = 29
Epoch 122 loss = 90.78736 	 PPV@L = 0.906 	 First Error = 29
Epoch 123 loss = 90.74239 	 PPV@L = 0.906 	 First Error = 29
Epoch 124 loss = 90.69201 	 PPV@L = 0.906 	 First Error = 28
Epoch 125 loss = 90.64912 	 PPV@L = 0.906 	 First Error = 28
Epoch 126 loss = 90.6079 	 PPV@L = 0.925 	 First Error = 28
Epoch 127 loss = 90.59827 	 PPV@L = 0.925 	 First Error = 28
Epoch 128 loss = 90.53648 	 PPV@L = 0.925 	 First Error = 28
Epoch 129 loss = 90.51654 	 PPV@L = 0.925 	 First Error = 28
Epoch 130 loss = 90.49495 	 PPV@L = 0.906 	 First Error = 28
Epoch 131 loss = 90.45095 	 PPV@L = 0.925 	 First Error = 28
Epoch 132 loss = 90.41576 	 PPV@L = 0.925 	 First Error = 28
Epoch 133 loss = 90.36351 	 PPV@L = 0.925 	 First Error = 28
Epoch 134 loss = 90.34376 	 PPV@L = 0.906 	 First Error = 27
Epoch 135 loss = 90.31462 	 PPV@L = 0.925 	 First Error = 27
Epoch 136 loss = 90.2881 	 PPV@L = 0.906 	 First Error = 27
Epoch 137 loss = 90.25751 	 PPV@L = 0.906 	 First Error = 27
Epoch 138 loss = 90.2265 	 PPV@L = 0.906 	 First Error = 27
Epoch 139 loss = 90.18343 	 PPV@L = 0.906 	 First Error = 27
Epoch 140 loss = 90.14946 	 PPV@L = 0.906 	 First Error = 28
Epoch 141 loss = 90.17554 	 PPV@L = 0.906 	 First Error = 28
Epoch 142 loss = 90.11158 	 PPV@L = 0.925 	 First Error = 28
Epoch 143 loss = 90.07271 	 PPV@L = 0.925 	 First Error = 28
Epoch 144 loss = 90.01408 	 PPV@L = 0.943 	 First Error = 27
Epoch 145 loss = 90.00231 	 PPV@L = 0.925 	 First Error = 27
Epoch 146 loss = 89.96568 	 PPV@L = 0.925 	 First Error = 28
Epoch 147 loss = 89.95324 	 PPV@L = 0.925 	 First Error = 27
Epoch 148 loss = 89.89333 	 PPV@L = 0.925 	 First Error = 27
Epoch 149 loss = 89.87274 	 PPV@L = 0.925 	 First Error = 28
Epoch 150 loss = 89.85876 	 PPV@L = 0.925 	 First Error = 28
Epoch 151 loss = 89.84859 	 PPV@L = 0.925 	 First Error = 28
Epoch 152 loss = 89.77701 	 PPV@L = 0.943 	 First Error = 28
Epoch 153 loss = 89.73765 	 PPV@L = 0.943 	 First Error = 28
Epoch 154 loss = 89.70916 	 PPV@L = 0.943 	 First Error = 28
Epoch 155 loss = 89.66964 	 PPV@L = 0.925 	 First Error = 28
Epoch 156 loss = 89.6711 	 PPV@L = 0.925 	 First Error = 28
Epoch 157 loss = 89.62657 	 PPV@L = 0.925 	 First Error = 28
Epoch 158 loss = 89.61702 	 PPV@L = 0.925 	 First Error = 28
Epoch 159 loss = 89.56006 	 PPV@L = 0.925 	 First Error = 28
Epoch 160 loss = 89.52794 	 PPV@L = 0.925 	 First Error = 28
Epoch 161 loss = 89.54246 	 PPV@L = 0.925 	 First Error = 28
