Epoch 1 loss = 3196.18577 	 PPV@L = 0.34 	 First Error = 2
Epoch 2 loss = 2496.51551 	 PPV@L = 0.358 	 First Error = 1
Epoch 3 loss = 1999.16831 	 PPV@L = 0.396 	 First Error = 2
Epoch 4 loss = 1621.37646 	 PPV@L = 0.415 	 First Error = 2
Epoch 5 loss = 1300.51678 	 PPV@L = 0.415 	 First Error = 3
Epoch 6 loss = 1039.82889 	 PPV@L = 0.415 	 First Error = 3
Epoch 7 loss = 829.51596 	 PPV@L = 0.396 	 First Error = 4
Epoch 8 loss = 661.64961 	 PPV@L = 0.396 	 First Error = 4
Epoch 9 loss = 529.4194 	 PPV@L = 0.434 	 First Error = 4
Epoch 10 loss = 426.53578 	 PPV@L = 0.415 	 First Error = 4
Epoch 11 loss = 347.46396 	 PPV@L = 0.434 	 First Error = 4
Epoch 12 loss = 287.21149 	 PPV@L = 0.453 	 First Error = 4
Epoch 13 loss = 241.84892 	 PPV@L = 0.453 	 First Error = 4
Epoch 14 loss = 207.9018 	 PPV@L = 0.472 	 First Error = 4
Epoch 15 loss = 182.75177 	 PPV@L = 0.547 	 First Error = 5
Epoch 16 loss = 164.18703 	 PPV@L = 0.566 	 First Error = 6
Epoch 17 loss = 150.52971 	 PPV@L = 0.642 	 First Error = 11
Epoch 18 loss = 140.57895 	 PPV@L = 0.736 	 First Error = 14
Epoch 19 loss = 133.34586 	 PPV@L = 0.792 	 First Error = 12
Epoch 20 loss = 128.11624 	 PPV@L = 0.83 	 First Error = 12
Epoch 21 loss = 124.38004 	 PPV@L = 0.849 	 First Error = 14
Epoch 22 loss = 121.66399 	 PPV@L = 0.811 	 First Error = 14
Epoch 23 loss = 119.71695 	 PPV@L = 0.83 	 First Error = 19
Epoch 24 loss = 118.30334 	 PPV@L = 0.83 	 First Error = 22
Epoch 25 loss = 117.25979 	 PPV@L = 0.811 	 First Error = 24
Epoch 26 loss = 116.55468 	 PPV@L = 0.792 	 First Error = 23
Epoch 27 loss = 116.0065 	 PPV@L = 0.811 	 First Error = 21
Epoch 28 loss = 115.6195 	 PPV@L = 0.774 	 First Error = 21
Epoch 29 loss = 115.32983 	 PPV@L = 0.774 	 First Error = 21
Epoch 30 loss = 115.17629 	 PPV@L = 0.792 	 First Error = 20
Epoch 31 loss = 114.98668 	 PPV@L = 0.774 	 First Error = 20
Epoch 32 loss = 114.87041 	 PPV@L = 0.774 	 First Error = 20
Epoch 33 loss = 114.82454 	 PPV@L = 0.792 	 First Error = 19
Epoch 34 loss = 114.69098 	 PPV@L = 0.792 	 First Error = 19
Epoch 35 loss = 114.58443 	 PPV@L = 0.792 	 First Error = 19
Epoch 36 loss = 114.53622 	 PPV@L = 0.792 	 First Error = 19
Epoch 37 loss = 114.50418 	 PPV@L = 0.792 	 First Error = 19
Epoch 38 loss = 114.49352 	 PPV@L = 0.774 	 First Error = 19
Epoch 39 loss = 114.42551 	 PPV@L = 0.792 	 First Error = 19
Epoch 40 loss = 114.36695 	 PPV@L = 0.792 	 First Error = 19
Epoch 41 loss = 114.29297 	 PPV@L = 0.792 	 First Error = 20
Epoch 42 loss = 114.25506 	 PPV@L = 0.792 	 First Error = 20
Epoch 43 loss = 114.19224 	 PPV@L = 0.792 	 First Error = 19
Epoch 44 loss = 114.21602 	 PPV@L = 0.792 	 First Error = 20
Epoch 45 loss = 114.12608 	 PPV@L = 0.792 	 First Error = 20
Epoch 46 loss = 114.15912 	 PPV@L = 0.792 	 First Error = 20
Epoch 47 loss = 113.99839 	 PPV@L = 0.792 	 First Error = 19
Epoch 48 loss = 114.00114 	 PPV@L = 0.774 	 First Error = 20
Epoch 49 loss = 113.96852 	 PPV@L = 0.792 	 First Error = 20
Epoch 50 loss = 113.89158 	 PPV@L = 0.792 	 First Error = 20
Epoch 51 loss = 113.85431 	 PPV@L = 0.774 	 First Error = 19
Epoch 52 loss = 113.81723 	 PPV@L = 0.792 	 First Error = 20
Epoch 53 loss = 113.79477 	 PPV@L = 0.792 	 First Error = 20
Epoch 54 loss = 113.6726 	 PPV@L = 0.792 	 First Error = 20
Epoch 55 loss = 113.6706 	 PPV@L = 0.792 	 First Error = 20
Epoch 56 loss = 113.61953 	 PPV@L = 0.774 	 First Error = 19
Epoch 57 loss = 113.63568 	 PPV@L = 0.792 	 First Error = 20
Epoch 58 loss = 113.55961 	 PPV@L = 0.792 	 First Error = 20
Epoch 59 loss = 113.51191 	 PPV@L = 0.792 	 First Error = 20
Epoch 60 loss = 113.45673 	 PPV@L = 0.792 	 First Error = 20
Epoch 61 loss = 113.36977 	 PPV@L = 0.792 	 First Error = 19
Epoch 62 loss = 113.31457 	 PPV@L = 0.792 	 First Error = 20
Epoch 63 loss = 113.21914 	 PPV@L = 0.792 	 First Error = 20
Epoch 64 loss = 113.17517 	 PPV@L = 0.811 	 First Error = 20
Epoch 65 loss = 113.17601 	 PPV@L = 0.792 	 First Error = 20
Epoch 66 loss = 113.05121 	 PPV@L = 0.792 	 First Error = 21
Epoch 67 loss = 113.06836 	 PPV@L = 0.774 	 First Error = 20
Epoch 68 loss = 113.00267 	 PPV@L = 0.792 	 First Error = 21
Epoch 69 loss = 112.93423 	 PPV@L = 0.792 	 First Error = 20
Epoch 70 loss = 112.89364 	 PPV@L = 0.792 	 First Error = 21
Epoch 71 loss = 112.77886 	 PPV@L = 0.792 	 First Error = 20
Epoch 72 loss = 112.77895 	 PPV@L = 0.774 	 First Error = 19
Epoch 73 loss = 112.71991 	 PPV@L = 0.792 	 First Error = 19
Epoch 74 loss = 112.61541 	 PPV@L = 0.774 	 First Error = 21
Epoch 75 loss = 112.58043 	 PPV@L = 0.792 	 First Error = 21
Epoch 76 loss = 112.50661 	 PPV@L = 0.792 	 First Error = 21
Epoch 77 loss = 112.46178 	 PPV@L = 0.792 	 First Error = 21
Epoch 78 loss = 112.41254 	 PPV@L = 0.792 	 First Error = 21
Epoch 79 loss = 112.41734 	 PPV@L = 0.774 	 First Error = 21
Epoch 80 loss = 112.30169 	 PPV@L = 0.792 	 First Error = 21
Epoch 81 loss = 112.32922 	 PPV@L = 0.792 	 First Error = 21
Epoch 82 loss = 112.19118 	 PPV@L = 0.774 	 First Error = 21
Epoch 83 loss = 112.12384 	 PPV@L = 0.774 	 First Error = 21
Epoch 84 loss = 112.03077 	 PPV@L = 0.774 	 First Error = 21
Epoch 85 loss = 112.05882 	 PPV@L = 0.792 	 First Error = 21
Epoch 86 loss = 111.91844 	 PPV@L = 0.792 	 First Error = 21
Epoch 87 loss = 111.85937 	 PPV@L = 0.774 	 First Error = 21
Epoch 88 loss = 111.84152 	 PPV@L = 0.792 	 First Error = 21
Epoch 89 loss = 111.8646 	 PPV@L = 0.792 	 First Error = 21
Epoch 90 loss = 111.76642 	 PPV@L = 0.792 	 First Error = 21
Epoch 91 loss = 111.64588 	 PPV@L = 0.792 	 First Error = 21
Epoch 92 loss = 111.54836 	 PPV@L = 0.792 	 First Error = 21
Epoch 93 loss = 111.51819 	 PPV@L = 0.811 	 First Error = 20
Epoch 94 loss = 111.40999 	 PPV@L = 0.811 	 First Error = 21
Epoch 95 loss = 111.43596 	 PPV@L = 0.811 	 First Error = 21
Epoch 96 loss = 111.38644 	 PPV@L = 0.792 	 First Error = 21
Epoch 97 loss = 111.29826 	 PPV@L = 0.792 	 First Error = 21
Epoch 98 loss = 111.19727 	 PPV@L = 0.774 	 First Error = 21
Epoch 99 loss = 111.21342 	 PPV@L = 0.792 	 First Error = 21
Epoch 100 loss = 111.15215 	 PPV@L = 0.792 	 First Error = 20
Epoch 101 loss = 111.05291 	 PPV@L = 0.774 	 First Error = 21
Epoch 102 loss = 110.96042 	 PPV@L = 0.792 	 First Error = 22
Epoch 103 loss = 110.97626 	 PPV@L = 0.792 	 First Error = 22
Epoch 104 loss = 110.86271 	 PPV@L = 0.811 	 First Error = 21
Epoch 105 loss = 110.77957 	 PPV@L = 0.811 	 First Error = 21
Epoch 106 loss = 110.69863 	 PPV@L = 0.83 	 First Error = 21
Epoch 107 loss = 110.70171 	 PPV@L = 0.811 	 First Error = 22
