Epoch 1 ltot = 4177.142 	 PPV@L = 0.472 	 PPV@2L = 0.472 	 1st Err = 3
Epoch 2 ltot = 2164.384 	 PPV@L = 0.509 	 PPV@2L = 0.415 	 1st Err = 2
Epoch 3 ltot = 550.778 	 PPV@L = 0.491 	 PPV@2L = 0.481 	 1st Err = 11
Epoch 4 ltot = 206.767 	 PPV@L = 0.717 	 PPV@2L = 0.5 	 1st Err = 7
Epoch 5 ltot = 129.64 	 PPV@L = 0.585 	 PPV@2L = 0.557 	 1st Err = 5
Epoch 6 ltot = 108.401 	 PPV@L = 0.698 	 PPV@2L = 0.594 	 1st Err = 13
Epoch 7 ltot = 100.971 	 PPV@L = 0.66 	 PPV@2L = 0.623 	 1st Err = 14
Epoch 8 ltot = 97.711 	 PPV@L = 0.736 	 PPV@2L = 0.623 	 1st Err = 10
Epoch 9 ltot = 95.763 	 PPV@L = 0.755 	 PPV@2L = 0.613 	 1st Err = 11
Epoch 10 ltot = 94.547 	 PPV@L = 0.774 	 PPV@2L = 0.575 	 1st Err = 12
Epoch 11 ltot = 93.715 	 PPV@L = 0.774 	 PPV@2L = 0.566 	 1st Err = 13
Epoch 12 ltot = 93.084 	 PPV@L = 0.792 	 PPV@2L = 0.585 	 1st Err = 13
Epoch 13 ltot = 92.559 	 PPV@L = 0.792 	 PPV@2L = 0.604 	 1st Err = 14
Epoch 14 ltot = 92.097 	 PPV@L = 0.792 	 PPV@2L = 0.623 	 1st Err = 14
Epoch 15 ltot = 91.678 	 PPV@L = 0.792 	 PPV@2L = 0.642 	 1st Err = 14
Epoch 16 ltot = 91.289 	 PPV@L = 0.774 	 PPV@2L = 0.679 	 1st Err = 14
Epoch 17 ltot = 90.916 	 PPV@L = 0.792 	 PPV@2L = 0.679 	 1st Err = 15
Epoch 18 ltot = 90.561 	 PPV@L = 0.83 	 PPV@2L = 0.689 	 1st Err = 15
Epoch 19 ltot = 90.227 	 PPV@L = 0.868 	 PPV@2L = 0.708 	 1st Err = 15
Epoch 20 ltot = 89.905 	 PPV@L = 0.887 	 PPV@2L = 0.736 	 1st Err = 15
Epoch 21 ltot = 89.607 	 PPV@L = 0.887 	 PPV@2L = 0.726 	 1st Err = 15
Epoch 22 ltot = 89.325 	 PPV@L = 0.887 	 PPV@2L = 0.726 	 1st Err = 16
Epoch 23 ltot = 89.058 	 PPV@L = 0.925 	 PPV@2L = 0.726 	 1st Err = 16
Epoch 24 ltot = 88.813 	 PPV@L = 0.906 	 PPV@2L = 0.726 	 1st Err = 17
Epoch 25 ltot = 88.573 	 PPV@L = 0.887 	 PPV@2L = 0.726 	 1st Err = 20
Epoch 26 ltot = 88.353 	 PPV@L = 0.887 	 PPV@2L = 0.736 	 1st Err = 21
Epoch 27 ltot = 88.138 	 PPV@L = 0.887 	 PPV@2L = 0.755 	 1st Err = 22
Epoch 28 ltot = 87.934 	 PPV@L = 0.887 	 PPV@2L = 0.764 	 1st Err = 22
Epoch 29 ltot = 87.746 	 PPV@L = 0.887 	 PPV@2L = 0.774 	 1st Err = 24
Epoch 30 ltot = 87.557 	 PPV@L = 0.906 	 PPV@2L = 0.783 	 1st Err = 24
Epoch 31 ltot = 87.375 	 PPV@L = 0.925 	 PPV@2L = 0.792 	 1st Err = 24
Epoch 32 ltot = 87.203 	 PPV@L = 0.925 	 PPV@2L = 0.802 	 1st Err = 24
Epoch 33 ltot = 87.033 	 PPV@L = 0.943 	 PPV@2L = 0.811 	 1st Err = 25
Epoch 34 ltot = 86.873 	 PPV@L = 0.925 	 PPV@2L = 0.821 	 1st Err = 28
Epoch 35 ltot = 86.725 	 PPV@L = 0.943 	 PPV@2L = 0.811 	 1st Err = 28
Epoch 36 ltot = 86.574 	 PPV@L = 0.943 	 PPV@2L = 0.83 	 1st Err = 27
Epoch 37 ltot = 86.424 	 PPV@L = 0.943 	 PPV@2L = 0.83 	 1st Err = 28
Epoch 38 ltot = 86.28 	 PPV@L = 0.943 	 PPV@2L = 0.84 	 1st Err = 28
Epoch 39 ltot = 86.138 	 PPV@L = 0.943 	 PPV@2L = 0.849 	 1st Err = 29
Epoch 40 ltot = 86.004 	 PPV@L = 0.943 	 PPV@2L = 0.849 	 1st Err = 29
Epoch 41 ltot = 85.876 	 PPV@L = 0.943 	 PPV@2L = 0.849 	 1st Err = 29
Epoch 42 ltot = 85.737 	 PPV@L = 0.925 	 PPV@2L = 0.849 	 1st Err = 29
Epoch 43 ltot = 85.601 	 PPV@L = 0.925 	 PPV@2L = 0.84 	 1st Err = 30
Epoch 44 ltot = 85.483 	 PPV@L = 0.925 	 PPV@2L = 0.849 	 1st Err = 30
Epoch 45 ltot = 85.366 	 PPV@L = 0.925 	 PPV@2L = 0.849 	 1st Err = 30
Epoch 46 ltot = 85.252 	 PPV@L = 0.925 	 PPV@2L = 0.849 	 1st Err = 30
Epoch 47 ltot = 85.145 	 PPV@L = 0.925 	 PPV@2L = 0.849 	 1st Err = 30
Epoch 48 ltot = 85.016 	 PPV@L = 0.925 	 PPV@2L = 0.849 	 1st Err = 31
Epoch 49 ltot = 84.905 	 PPV@L = 0.943 	 PPV@2L = 0.84 	 1st Err = 30
Epoch 50 ltot = 84.803 	 PPV@L = 0.962 	 PPV@2L = 0.849 	 1st Err = 31
Epoch 1 ltot = 3277.195 	 PPV@L = 0.453 	 PPV@2L = 0.396 	 1st Err = 1
Epoch 2 ltot = 2709.341 	 PPV@L = 0.566 	 PPV@2L = 0.491 	 1st Err = 1
Epoch 3 ltot = 620.708 	 PPV@L = 0.453 	 PPV@2L = 0.425 	 1st Err = 4
Epoch 4 ltot = 208.076 	 PPV@L = 0.358 	 PPV@2L = 0.349 	 1st Err = 1
Epoch 5 ltot = 128.366 	 PPV@L = 0.472 	 PPV@2L = 0.425 	 1st Err = 2
Epoch 6 ltot = 109.143 	 PPV@L = 0.547 	 PPV@2L = 0.472 	 1st Err = 5
Epoch 7 ltot = 101.941 	 PPV@L = 0.604 	 PPV@2L = 0.519 	 1st Err = 7
Epoch 8 ltot = 98.391 	 PPV@L = 0.642 	 PPV@2L = 0.557 	 1st Err = 9
Epoch 9 ltot = 96.234 	 PPV@L = 0.679 	 PPV@2L = 0.557 	 1st Err = 9
Epoch 10 ltot = 94.835 	 PPV@L = 0.717 	 PPV@2L = 0.575 	 1st Err = 10
Epoch 11 ltot = 93.855 	 PPV@L = 0.736 	 PPV@2L = 0.594 	 1st Err = 13
Epoch 12 ltot = 93.104 	 PPV@L = 0.717 	 PPV@2L = 0.594 	 1st Err = 12
Epoch 13 ltot = 92.5 	 PPV@L = 0.736 	 PPV@2L = 0.632 	 1st Err = 10
Epoch 14 ltot = 91.994 	 PPV@L = 0.736 	 PPV@2L = 0.623 	 1st Err = 10
Epoch 15 ltot = 91.551 	 PPV@L = 0.736 	 PPV@2L = 0.642 	 1st Err = 10
Epoch 16 ltot = 91.152 	 PPV@L = 0.755 	 PPV@2L = 0.651 	 1st Err = 10
Epoch 17 ltot = 90.784 	 PPV@L = 0.774 	 PPV@2L = 0.651 	 1st Err = 9
Epoch 18 ltot = 90.447 	 PPV@L = 0.774 	 PPV@2L = 0.679 	 1st Err = 8
Epoch 19 ltot = 90.13 	 PPV@L = 0.774 	 PPV@2L = 0.679 	 1st Err = 8
Epoch 20 ltot = 89.828 	 PPV@L = 0.811 	 PPV@2L = 0.689 	 1st Err = 7
Epoch 21 ltot = 89.545 	 PPV@L = 0.811 	 PPV@2L = 0.698 	 1st Err = 6
Epoch 22 ltot = 89.275 	 PPV@L = 0.83 	 PPV@2L = 0.698 	 1st Err = 5
