Epoch 1 loss = 688.40798 	 PPV@L = 0.491 	 First Error = 1
Epoch 2 loss = 506.94681 	 PPV@L = 0.491 	 First Error = 1
Epoch 3 loss = 425.56016 	 PPV@L = 0.472 	 First Error = 1
Epoch 4 loss = 378.07971 	 PPV@L = 0.453 	 First Error = 1
Epoch 5 loss = 340.84274 	 PPV@L = 0.472 	 First Error = 1
Epoch 6 loss = 311.42679 	 PPV@L = 0.491 	 First Error = 1
Epoch 7 loss = 286.50433 	 PPV@L = 0.491 	 First Error = 1
Epoch 8 loss = 264.8597 	 PPV@L = 0.491 	 First Error = 3
Epoch 9 loss = 245.75489 	 PPV@L = 0.472 	 First Error = 3
Epoch 10 loss = 228.74328 	 PPV@L = 0.509 	 First Error = 3
Epoch 11 loss = 213.60758 	 PPV@L = 0.509 	 First Error = 3
Epoch 12 loss = 200.06472 	 PPV@L = 0.528 	 First Error = 3
Epoch 13 loss = 187.9716 	 PPV@L = 0.528 	 First Error = 4
Epoch 14 loss = 177.20298 	 PPV@L = 0.528 	 First Error = 4
Epoch 15 loss = 167.58072 	 PPV@L = 0.547 	 First Error = 4
Epoch 16 loss = 159.02192 	 PPV@L = 0.547 	 First Error = 5
Epoch 17 loss = 151.41221 	 PPV@L = 0.585 	 First Error = 5
Epoch 18 loss = 144.63613 	 PPV@L = 0.566 	 First Error = 5
Epoch 19 loss = 138.59497 	 PPV@L = 0.566 	 First Error = 5
Epoch 20 loss = 133.22309 	 PPV@L = 0.566 	 First Error = 7
Epoch 21 loss = 128.47476 	 PPV@L = 0.604 	 First Error = 8
Epoch 22 loss = 124.23144 	 PPV@L = 0.585 	 First Error = 8
Epoch 23 loss = 120.47897 	 PPV@L = 0.604 	 First Error = 9
Epoch 24 loss = 117.15341 	 PPV@L = 0.623 	 First Error = 9
Epoch 25 loss = 114.1919 	 PPV@L = 0.623 	 First Error = 9
Epoch 26 loss = 111.59418 	 PPV@L = 0.604 	 First Error = 9
Epoch 27 loss = 109.26179 	 PPV@L = 0.623 	 First Error = 9
Epoch 28 loss = 107.21889 	 PPV@L = 0.698 	 First Error = 12
Epoch 29 loss = 105.40168 	 PPV@L = 0.717 	 First Error = 12
Epoch 30 loss = 103.78856 	 PPV@L = 0.717 	 First Error = 14
Epoch 31 loss = 102.36637 	 PPV@L = 0.736 	 First Error = 14
Epoch 32 loss = 101.14123 	 PPV@L = 0.717 	 First Error = 15
Epoch 33 loss = 100.00784 	 PPV@L = 0.717 	 First Error = 15
Epoch 34 loss = 99.01315 	 PPV@L = 0.717 	 First Error = 16
Epoch 35 loss = 98.11351 	 PPV@L = 0.717 	 First Error = 17
Epoch 36 loss = 97.396 	 PPV@L = 0.736 	 First Error = 19
Epoch 37 loss = 96.70859 	 PPV@L = 0.755 	 First Error = 20
Epoch 38 loss = 96.10103 	 PPV@L = 0.755 	 First Error = 21
Epoch 39 loss = 95.56181 	 PPV@L = 0.755 	 First Error = 24
Epoch 40 loss = 95.06104 	 PPV@L = 0.792 	 First Error = 27
Epoch 41 loss = 94.65595 	 PPV@L = 0.792 	 First Error = 27
Epoch 42 loss = 94.28263 	 PPV@L = 0.811 	 First Error = 29
Epoch 43 loss = 93.94532 	 PPV@L = 0.83 	 First Error = 31
Epoch 44 loss = 93.61744 	 PPV@L = 0.849 	 First Error = 29
Epoch 45 loss = 93.38918 	 PPV@L = 0.83 	 First Error = 25
Epoch 46 loss = 93.13289 	 PPV@L = 0.83 	 First Error = 21
Epoch 47 loss = 92.92929 	 PPV@L = 0.849 	 First Error = 20
Epoch 48 loss = 92.75342 	 PPV@L = 0.868 	 First Error = 19
Epoch 49 loss = 92.5458 	 PPV@L = 0.887 	 First Error = 19
Epoch 50 loss = 92.37083 	 PPV@L = 0.887 	 First Error = 19
Epoch 51 loss = 92.23762 	 PPV@L = 0.906 	 First Error = 19
Epoch 52 loss = 92.12018 	 PPV@L = 0.887 	 First Error = 19
Epoch 53 loss = 91.99046 	 PPV@L = 0.887 	 First Error = 19
Epoch 54 loss = 91.88498 	 PPV@L = 0.906 	 First Error = 19
Epoch 55 loss = 91.75296 	 PPV@L = 0.906 	 First Error = 19
Epoch 56 loss = 91.69839 	 PPV@L = 0.906 	 First Error = 18
Epoch 57 loss = 91.57157 	 PPV@L = 0.906 	 First Error = 18
Epoch 58 loss = 91.5007 	 PPV@L = 0.906 	 First Error = 18
Epoch 59 loss = 91.43256 	 PPV@L = 0.906 	 First Error = 18
Epoch 60 loss = 91.37363 	 PPV@L = 0.906 	 First Error = 18
Epoch 61 loss = 91.30803 	 PPV@L = 0.906 	 First Error = 18
Epoch 62 loss = 91.24842 	 PPV@L = 0.906 	 First Error = 17
Epoch 63 loss = 91.24172 	 PPV@L = 0.906 	 First Error = 17
Epoch 64 loss = 91.11332 	 PPV@L = 0.906 	 First Error = 17
Epoch 65 loss = 91.06268 	 PPV@L = 0.906 	 First Error = 17
Epoch 66 loss = 90.97258 	 PPV@L = 0.906 	 First Error = 17
Epoch 67 loss = 90.94463 	 PPV@L = 0.906 	 First Error = 17
Epoch 68 loss = 90.87195 	 PPV@L = 0.906 	 First Error = 17
Epoch 69 loss = 90.8467 	 PPV@L = 0.906 	 First Error = 17
Epoch 70 loss = 90.78222 	 PPV@L = 0.906 	 First Error = 17
Epoch 71 loss = 90.67772 	 PPV@L = 0.906 	 First Error = 17
Epoch 72 loss = 90.70621 	 PPV@L = 0.906 	 First Error = 17
Epoch 73 loss = 90.57795 	 PPV@L = 0.906 	 First Error = 17
Epoch 74 loss = 90.54423 	 PPV@L = 0.906 	 First Error = 17
Epoch 75 loss = 90.48503 	 PPV@L = 0.906 	 First Error = 17
Epoch 76 loss = 90.42786 	 PPV@L = 0.887 	 First Error = 17
Epoch 77 loss = 90.4078 	 PPV@L = 0.887 	 First Error = 17
Epoch 78 loss = 90.38097 	 PPV@L = 0.887 	 First Error = 17
Epoch 79 loss = 90.31392 	 PPV@L = 0.887 	 First Error = 18
Epoch 80 loss = 90.19437 	 PPV@L = 0.887 	 First Error = 18
Epoch 81 loss = 90.21022 	 PPV@L = 0.887 	 First Error = 18
Epoch 82 loss = 90.2006 	 PPV@L = 0.887 	 First Error = 19
Epoch 83 loss = 90.19823 	 PPV@L = 0.868 	 First Error = 19
Epoch 84 loss = 90.10929 	 PPV@L = 0.868 	 First Error = 19
Epoch 85 loss = 90.03148 	 PPV@L = 0.868 	 First Error = 19
Epoch 86 loss = 90.00206 	 PPV@L = 0.868 	 First Error = 19
Epoch 87 loss = 89.93586 	 PPV@L = 0.868 	 First Error = 19
Epoch 88 loss = 89.87113 	 PPV@L = 0.868 	 First Error = 19
Epoch 89 loss = 89.85492 	 PPV@L = 0.868 	 First Error = 20
Epoch 90 loss = 89.74617 	 PPV@L = 0.849 	 First Error = 21
Epoch 91 loss = 89.78425 	 PPV@L = 0.868 	 First Error = 21
Epoch 92 loss = 89.64554 	 PPV@L = 0.849 	 First Error = 22
Epoch 93 loss = 89.61837 	 PPV@L = 0.849 	 First Error = 22
Epoch 94 loss = 89.57215 	 PPV@L = 0.849 	 First Error = 22
Epoch 95 loss = 89.45764 	 PPV@L = 0.868 	 First Error = 22
Epoch 96 loss = 89.47742 	 PPV@L = 0.849 	 First Error = 22
Epoch 97 loss = 89.43999 	 PPV@L = 0.849 	 First Error = 22
Epoch 98 loss = 89.35276 	 PPV@L = 0.849 	 First Error = 22
