Epoch 62 loss = 100.23917 	 PPV@L = 0.679 	 PPV@2L = 0.67 	 First Error = 17
Epoch 63 loss = 99.65857 	 PPV@L = 0.698 	 PPV@2L = 0.67 	 First Error = 17
Epoch 64 loss = 99.11799 	 PPV@L = 0.717 	 PPV@2L = 0.679 	 First Error = 17
Epoch 65 loss = 98.6202 	 PPV@L = 0.698 	 PPV@2L = 0.689 	 First Error = 18
Epoch 66 loss = 98.13546 	 PPV@L = 0.698 	 PPV@2L = 0.679 	 First Error = 18
Epoch 67 loss = 97.69806 	 PPV@L = 0.698 	 PPV@2L = 0.67 	 First Error = 19
Epoch 68 loss = 97.2634 	 PPV@L = 0.717 	 PPV@2L = 0.679 	 First Error = 19
Epoch 69 loss = 96.86833 	 PPV@L = 0.736 	 PPV@2L = 0.66 	 First Error = 18
Epoch 70 loss = 96.50679 	 PPV@L = 0.755 	 PPV@2L = 0.66 	 First Error = 18
Epoch 71 loss = 96.16423 	 PPV@L = 0.774 	 PPV@2L = 0.67 	 First Error = 18
Epoch 72 loss = 95.83029 	 PPV@L = 0.774 	 PPV@2L = 0.689 	 First Error = 18
Epoch 73 loss = 95.53041 	 PPV@L = 0.755 	 PPV@2L = 0.679 	 First Error = 19
Epoch 74 loss = 95.24193 	 PPV@L = 0.774 	 PPV@2L = 0.679 	 First Error = 19
Epoch 75 loss = 94.97724 	 PPV@L = 0.774 	 PPV@2L = 0.698 	 First Error = 20
Epoch 76 loss = 94.73628 	 PPV@L = 0.792 	 PPV@2L = 0.689 	 First Error = 20
Epoch 77 loss = 94.4847 	 PPV@L = 0.811 	 PPV@2L = 0.689 	 First Error = 19
Epoch 78 loss = 94.24923 	 PPV@L = 0.811 	 PPV@2L = 0.698 	 First Error = 19
Epoch 79 loss = 94.06926 	 PPV@L = 0.83 	 PPV@2L = 0.708 	 First Error = 19
Epoch 80 loss = 93.85695 	 PPV@L = 0.83 	 PPV@2L = 0.717 	 First Error = 20
Epoch 81 loss = 93.67596 	 PPV@L = 0.83 	 PPV@2L = 0.717 	 First Error = 21
Epoch 82 loss = 93.48208 	 PPV@L = 0.83 	 PPV@2L = 0.708 	 First Error = 20
Epoch 83 loss = 93.32698 	 PPV@L = 0.83 	 PPV@2L = 0.717 	 First Error = 20
Epoch 84 loss = 93.18585 	 PPV@L = 0.849 	 PPV@2L = 0.717 	 First Error = 20
Epoch 85 loss = 93.03723 	 PPV@L = 0.868 	 PPV@2L = 0.726 	 First Error = 20
Epoch 86 loss = 92.89189 	 PPV@L = 0.868 	 PPV@2L = 0.736 	 First Error = 20
Epoch 87 loss = 92.78198 	 PPV@L = 0.887 	 PPV@2L = 0.726 	 First Error = 20
Epoch 88 loss = 92.64027 	 PPV@L = 0.906 	 PPV@2L = 0.726 	 First Error = 20
Epoch 89 loss = 92.53465 	 PPV@L = 0.906 	 PPV@2L = 0.717 	 First Error = 20
Epoch 90 loss = 92.41792 	 PPV@L = 0.906 	 PPV@2L = 0.717 	 First Error = 20
Epoch 91 loss = 92.3303 	 PPV@L = 0.906 	 PPV@2L = 0.726 	 First Error = 20
Epoch 92 loss = 92.19517 	 PPV@L = 0.887 	 PPV@2L = 0.726 	 First Error = 22
Epoch 93 loss = 92.12054 	 PPV@L = 0.906 	 PPV@2L = 0.726 	 First Error = 20
Epoch 94 loss = 92.03053 	 PPV@L = 0.906 	 PPV@2L = 0.726 	 First Error = 22
Epoch 95 loss = 91.93138 	 PPV@L = 0.906 	 PPV@2L = 0.726 	 First Error = 20
Epoch 96 loss = 91.85548 	 PPV@L = 0.906 	 PPV@2L = 0.726 	 First Error = 19
Epoch 97 loss = 91.78889 	 PPV@L = 0.906 	 PPV@2L = 0.736 	 First Error = 19
Epoch 98 loss = 91.71483 	 PPV@L = 0.906 	 PPV@2L = 0.745 	 First Error = 20
Epoch 99 loss = 91.65106 	 PPV@L = 0.906 	 PPV@2L = 0.745 	 First Error = 20
Epoch 100 loss = 91.56067 	 PPV@L = 0.906 	 PPV@2L = 0.755 	 First Error = 20
Epoch 101 loss = 91.49932 	 PPV@L = 0.906 	 PPV@2L = 0.755 	 First Error = 20
Epoch 102 loss = 91.4334 	 PPV@L = 0.906 	 PPV@2L = 0.764 	 First Error = 20
Epoch 103 loss = 91.37279 	 PPV@L = 0.906 	 PPV@2L = 0.764 	 First Error = 20
Epoch 104 loss = 91.31408 	 PPV@L = 0.906 	 PPV@2L = 0.764 	 First Error = 20
Epoch 105 loss = 91.26546 	 PPV@L = 0.925 	 PPV@2L = 0.764 	 First Error = 19
Epoch 106 loss = 91.22902 	 PPV@L = 0.925 	 PPV@2L = 0.764 	 First Error = 19
Epoch 107 loss = 91.163 	 PPV@L = 0.925 	 PPV@2L = 0.764 	 First Error = 20
Epoch 108 loss = 91.11478 	 PPV@L = 0.925 	 PPV@2L = 0.764 	 First Error = 20
Epoch 109 loss = 91.0663 	 PPV@L = 0.925 	 PPV@2L = 0.764 	 First Error = 20
Epoch 110 loss = 90.99974 	 PPV@L = 0.925 	 PPV@2L = 0.764 	 First Error = 20
Epoch 111 loss = 90.96162 	 PPV@L = 0.925 	 PPV@2L = 0.774 	 First Error = 20
Epoch 112 loss = 90.90243 	 PPV@L = 0.925 	 PPV@2L = 0.774 	 First Error = 20
Epoch 113 loss = 90.86724 	 PPV@L = 0.925 	 PPV@2L = 0.783 	 First Error = 20
Epoch 114 loss = 90.83755 	 PPV@L = 0.925 	 PPV@2L = 0.792 	 First Error = 20
Epoch 115 loss = 90.80373 	 PPV@L = 0.925 	 PPV@2L = 0.783 	 First Error = 20
Epoch 116 loss = 90.74699 	 PPV@L = 0.925 	 PPV@2L = 0.792 	 First Error = 20
Epoch 117 loss = 90.7125 	 PPV@L = 0.925 	 PPV@2L = 0.783 	 First Error = 20
Epoch 118 loss = 90.66859 	 PPV@L = 0.925 	 PPV@2L = 0.783 	 First Error = 20
Epoch 119 loss = 90.61094 	 PPV@L = 0.925 	 PPV@2L = 0.783 	 First Error = 21
Epoch 120 loss = 90.55921 	 PPV@L = 0.925 	 PPV@2L = 0.783 	 First Error = 20
Epoch 121 loss = 90.55265 	 PPV@L = 0.925 	 PPV@2L = 0.783 	 First Error = 22
Epoch 122 loss = 90.5017 	 PPV@L = 0.925 	 PPV@2L = 0.783 	 First Error = 22
Epoch 123 loss = 90.45611 	 PPV@L = 0.925 	 PPV@2L = 0.792 	 First Error = 22
Epoch 124 loss = 90.41741 	 PPV@L = 0.925 	 PPV@2L = 0.792 	 First Error = 22
Epoch 125 loss = 90.38822 	 PPV@L = 0.925 	 PPV@2L = 0.792 	 First Error = 22
Epoch 126 loss = 90.35495 	 PPV@L = 0.925 	 PPV@2L = 0.792 	 First Error = 22
Epoch 127 loss = 90.3418 	 PPV@L = 0.925 	 PPV@2L = 0.802 	 First Error = 22
Epoch 128 loss = 90.2976 	 PPV@L = 0.925 	 PPV@2L = 0.783 	 First Error = 22
Epoch 129 loss = 90.25075 	 PPV@L = 0.925 	 PPV@2L = 0.783 	 First Error = 22
Epoch 130 loss = 90.19892 	 PPV@L = 0.925 	 PPV@2L = 0.783 	 First Error = 22
Epoch 131 loss = 90.16216 	 PPV@L = 0.925 	 PPV@2L = 0.792 	 First Error = 22
Epoch 132 loss = 90.14673 	 PPV@L = 0.925 	 PPV@2L = 0.783 	 First Error = 22
Epoch 133 loss = 90.10629 	 PPV@L = 0.925 	 PPV@2L = 0.783 	 First Error = 22
Epoch 134 loss = 90.09388 	 PPV@L = 0.925 	 PPV@2L = 0.792 	 First Error = 22
Epoch 135 loss = 90.05202 	 PPV@L = 0.925 	 PPV@2L = 0.783 	 First Error = 22
Epoch 136 loss = 90.00779 	 PPV@L = 0.925 	 PPV@2L = 0.783 	 First Error = 23
Epoch 137 loss = 89.99953 	 PPV@L = 0.925 	 PPV@2L = 0.783 	 First Error = 23
Epoch 138 loss = 89.91563 	 PPV@L = 0.925 	 PPV@2L = 0.783 	 First Error = 22
Epoch 139 loss = 89.9176 	 PPV@L = 0.925 	 PPV@2L = 0.783 	 First Error = 23
Epoch 140 loss = 89.87202 	 PPV@L = 0.925 	 PPV@2L = 0.783 	 First Error = 23
Epoch 141 loss = 89.86223 	 PPV@L = 0.925 	 PPV@2L = 0.783 	 First Error = 23
Epoch 142 loss = 89.80622 	 PPV@L = 0.925 	 PPV@2L = 0.783 	 First Error = 23
Epoch 143 loss = 89.7696 	 PPV@L = 0.925 	 PPV@2L = 0.783 	 First Error = 23
Epoch 144 loss = 89.73418 	 PPV@L = 0.925 	 PPV@2L = 0.783 	 First Error = 22
Epoch 145 loss = 89.71913 	 PPV@L = 0.925 	 PPV@2L = 0.783 	 First Error = 22
Epoch 146 loss = 89.64379 	 PPV@L = 0.925 	 PPV@2L = 0.783 	 First Error = 22
Epoch 147 loss = 89.65458 	 PPV@L = 0.925 	 PPV@2L = 0.783 	 First Error = 22
Epoch 148 loss = 89.6228 	 PPV@L = 0.925 	 PPV@2L = 0.774 	 First Error = 22
Epoch 149 loss = 89.57065 	 PPV@L = 0.925 	 PPV@2L = 0.774 	 First Error = 22
Epoch 150 loss = 89.53436 	 PPV@L = 0.925 	 PPV@2L = 0.783 	 First Error = 22
Epoch 151 loss = 89.46733 	 PPV@L = 0.925 	 PPV@2L = 0.783 	 First Error = 22
Epoch 152 loss = 89.47607 	 PPV@L = 0.925 	 PPV@2L = 0.774 	 First Error = 22
Epoch 153 loss = 89.45263 	 PPV@L = 0.925 	 PPV@2L = 0.783 	 First Error = 22
Epoch 154 loss = 89.41453 	 PPV@L = 0.925 	 PPV@2L = 0.783 	 First Error = 22
Epoch 155 loss = 89.38104 	 PPV@L = 0.925 	 PPV@2L = 0.792 	 First Error = 22
Epoch 156 loss = 89.33639 	 PPV@L = 0.925 	 PPV@2L = 0.774 	 First Error = 22
Epoch 157 loss = 89.30611 	 PPV@L = 0.925 	 PPV@2L = 0.783 	 First Error = 23
Epoch 158 loss = 89.23907 	 PPV@L = 0.925 	 PPV@2L = 0.783 	 First Error = 22
Epoch 159 loss = 89.22937 	 PPV@L = 0.925 	 PPV@2L = 0.755 	 First Error = 22
Epoch 160 loss = 89.19666 	 PPV@L = 0.925 	 PPV@2L = 0.764 	 First Error = 23
Epoch 161 loss = 89.17516 	 PPV@L = 0.925 	 PPV@2L = 0.764 	 First Error = 22
Epoch 162 loss = 89.11581 	 PPV@L = 0.925 	 PPV@2L = 0.774 	 First Error = 22
Epoch 163 loss = 89.08634 	 PPV@L = 0.925 	 PPV@2L = 0.774 	 First Error = 23
Epoch 164 loss = 89.06964 	 PPV@L = 0.925 	 PPV@2L = 0.764 	 First Error = 23
Epoch 165 loss = 89.03661 	 PPV@L = 0.925 	 PPV@2L = 0.764 	 First Error = 22
Epoch 166 loss = 88.99519 	 PPV@L = 0.925 	 PPV@2L = 0.774 	 First Error = 23
Epoch 167 loss = 88.96435 	 PPV@L = 0.925 	 PPV@2L = 0.783 	 First Error = 23
Epoch 168 loss = 88.9393 	 PPV@L = 0.925 	 PPV@2L = 0.774 	 First Error = 23
Epoch 169 loss = 88.90036 	 PPV@L = 0.925 	 PPV@2L = 0.774 	 First Error = 23
Epoch 170 loss = 88.86644 	 PPV@L = 0.925 	 PPV@2L = 0.764 	 First Error = 23
Epoch 171 loss = 88.81513 	 PPV@L = 0.925 	 PPV@2L = 0.764 	 First Error = 23
Epoch 172 loss = 88.79561 	 PPV@L = 0.925 	 PPV@2L = 0.745 	 First Error = 23
Epoch 173 loss = 88.74378 	 PPV@L = 0.925 	 PPV@2L = 0.764 	 First Error = 23
Epoch 174 loss = 88.72587 	 PPV@L = 0.925 	 PPV@2L = 0.764 	 First Error = 23
Epoch 175 loss = 88.67237 	 PPV@L = 0.925 	 PPV@2L = 0.755 	 First Error = 23
Epoch 176 loss = 88.61953 	 PPV@L = 0.925 	 PPV@2L = 0.755 	 First Error = 23
Epoch 177 loss = 88.61211 	 PPV@L = 0.925 	 PPV@2L = 0.755 	 First Error = 23
Epoch 178 loss = 88.58888 	 PPV@L = 0.925 	 PPV@2L = 0.764 	 First Error = 23
Epoch 179 loss = 88.51957 	 PPV@L = 0.925 	 PPV@2L = 0.764 	 First Error = 23
Epoch 180 loss = 88.49963 	 PPV@L = 0.925 	 PPV@2L = 0.755 	 First Error = 23
Epoch 181 loss = 88.44831 	 PPV@L = 0.925 	 PPV@2L = 0.764 	 First Error = 23
Epoch 182 loss = 88.42647 	 PPV@L = 0.925 	 PPV@2L = 0.755 	 First Error = 23
Epoch 183 loss = 88.40765 	 PPV@L = 0.925 	 PPV@2L = 0.745 	 First Error = 23
Epoch 184 loss = 88.32869 	 PPV@L = 0.925 	 PPV@2L = 0.764 	 First Error = 23
Epoch 185 loss = 88.33717 	 PPV@L = 0.925 	 PPV@2L = 0.764 	 First Error = 23
Epoch 186 loss = 88.27048 	 PPV@L = 0.925 	 PPV@2L = 0.755 	 First Error = 23
Epoch 187 loss = 88.27239 	 PPV@L = 0.925 	 PPV@2L = 0.745 	 First Error = 23
Epoch 188 loss = 88.22096 	 PPV@L = 0.925 	 PPV@2L = 0.755 	 First Error = 23
Epoch 189 loss = 88.18051 	 PPV@L = 0.925 	 PPV@2L = 0.745 	 First Error = 23
Epoch 190 loss = 88.13381 	 PPV@L = 0.925 	 PPV@2L = 0.745 	 First Error = 23
Epoch 191 loss = 88.15302 	 PPV@L = 0.925 	 PPV@2L = 0.736 	 First Error = 23
Epoch 192 loss = 88.06874 	 PPV@L = 0.925 	 PPV@2L = 0.736 	 First Error = 23
Epoch 193 loss = 88.02791 	 PPV@L = 0.925 	 PPV@2L = 0.745 	 First Error = 23
Epoch 194 loss = 88.04032 	 PPV@L = 0.925 	 PPV@2L = 0.755 	 First Error = 23
Epoch 195 loss = 87.9363 	 PPV@L = 0.925 	 PPV@2L = 0.745 	 First Error = 23
